epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,179.352,0.6363,0.42828,0.9899,0.96004,0.94414,0.97927,0.8238,0.7161,0.43196,1.01269,0.000615781,0.000615781,0.000615781
43,183.891,0.66126,0.43732,1.00654,0.94922,0.94214,0.98329,0.81023,0.71924,0.41303,1.02579,0.000600313,0.000600313,0.000600313
44,187.766,0.64871,0.43392,0.99857,0.93578,0.98427,0.99018,0.8253,0.72967,0.39324,1.06171,0.000584844,0.000584844,0.000584844
45,191.637,0.65393,0.43149,0.99268,0.96828,0.97573,0.98504,0.78799,0.78882,0.4194,1.16492,0.000569375,0.000569375,0.000569375
46,196.128,0.6364,0.4089,0.99195,0.98033,0.98684,0.9742,0.79978,0.75896,0.42157,1.0772,0.000553906,0.000553906,0.000553906
47,199.996,0.65202,0.42027,1.01919,0.97981,0.98129,0.96947,0.80669,0.71625,0.40867,1.07451,0.000538438,0.000538438,0.000538438
48,203.945,0.6249,0.40908,0.98433,0.9426,0.97596,0.96908,0.80636,0.6938,0.4186,1.04223,0.000522969,0.000522969,0.000522969
49,208.621,0.63025,0.42809,1.00247,0.95342,0.98415,0.96814,0.80239,0.70031,0.40645,1.06111,0.0005075,0.0005075,0.0005075
50,212.506,0.61934,0.41146,0.99243,0.9369,0.97889,0.97238,0.81522,0.6978,0.43749,1.06061,0.000492031,0.000492031,0.000492031
51,216.273,0.60799,0.4197,0.98008,0.98007,0.98684,0.97694,0.82675,0.70072,0.38616,1.044,0.000476562,0.000476562,0.000476562
52,220.892,0.60332,0.41634,0.98061,0.96317,0.98426,0.97156,0.81447,0.69187,0.39728,1.03789,0.000461094,0.000461094,0.000461094
53,224.847,0.59508,0.39762,0.97663,0.98083,0.98684,0.97762,0.82038,0.7075,0.38703,1.03014,0.000445625,0.000445625,0.000445625
54,228.63,0.59376,0.3967,0.98208,0.97899,0.97269,0.97762,0.80312,0.76888,0.38741,1.11059,0.000430156,0.000430156,0.000430156
55,233.065,0.57478,0.38261,0.96182,0.97601,0.98419,0.98371,0.83992,0.68282,0.36888,1.02104,0.000414688,0.000414688,0.000414688
56,237.456,0.55214,0.36926,0.94573,0.98086,0.98684,0.97625,0.82924,0.675,0.3706,1.02183,0.000399219,0.000399219,0.000399219
57,241.233,0.57192,0.36459,0.97409,0.97826,0.98684,0.97602,0.82835,0.6649,0.37062,0.99964,0.00038375,0.00038375,0.00038375
58,245.594,0.55855,0.37191,0.95704,0.98052,0.98568,0.97581,0.82601,0.6857,0.36001,1.0582,0.000368281,0.000368281,0.000368281
59,249.869,0.54622,0.3684,0.96477,0.98197,0.98213,0.97564,0.83012,0.68788,0.36419,1.05004,0.000352812,0.000352812,0.000352812
60,253.807,0.55821,0.37118,0.96485,0.98214,0.98544,0.97846,0.83907,0.65927,0.34782,1.06692,0.000337344,0.000337344,0.000337344
61,258.093,0.55666,0.36558,0.97599,0.97853,0.98591,0.97966,0.83145,0.6435,0.34989,1.04547,0.000321875,0.000321875,0.000321875
62,262.368,0.51648,0.35119,0.94389,0.98098,0.98656,0.98186,0.82899,0.66714,0.3516,1.04493,0.000306406,0.000306406,0.000306406
63,266.231,0.54493,0.36337,0.95037,0.97076,0.98424,0.97844,0.83299,0.66089,0.34064,1.03085,0.000290937,0.000290937,0.000290937
64,270.454,0.51933,0.3425,0.94673,0.98025,0.97509,0.97819,0.83713,0.6439,0.33031,1.0106,0.000275469,0.000275469,0.000275469
65,274.646,0.54557,0.36098,0.96709,0.97426,0.98459,0.97819,0.82735,0.65243,0.33468,1.03318,0.00026,0.00026,0.00026
66,279.369,0.50275,0.33141,0.92689,0.97633,0.98417,0.97819,0.83163,0.65027,0.33005,1.00381,0.000244531,0.000244531,0.000244531
67,283.685,0.51877,0.34224,0.94129,0.97971,0.98684,0.97625,0.82663,0.65629,0.328,1.04914,0.000229063,0.000229063,0.000229063
68,287.885,0.499,0.32604,0.93038,0.97731,0.98388,0.98009,0.84379,0.65913,0.33142,1.01798,0.000213594,0.000213594,0.000213594
69,291.891,0.4786,0.32007,0.91863,0.98038,0.98657,0.98048,0.8399,0.6739,0.32625,1.01466,0.000198125,0.000198125,0.000198125
70,295.969,0.50938,0.3453,0.93891,0.98161,0.98684,0.98371,0.84099,0.66417,0.32944,1.03338,0.000182656,0.000182656,0.000182656
71,302.587,0.43263,0.27296,0.86953,0.98087,0.98684,0.98006,0.83636,0.64503,0.32113,1.00897,0.000167188,0.000167188,0.000167188
72,306.511,0.41012,0.2447,0.85859,0.98037,0.98684,0.98037,0.84842,0.62852,0.32137,0.98992,0.000151719,0.000151719,0.000151719
73,311.229,0.39119,0.23302,0.84834,0.98056,0.98684,0.98037,0.85432,0.62431,0.32243,0.99715,0.00013625,0.00013625,0.00013625
74,315.178,0.38107,0.2256,0.84395,0.98066,0.98684,0.97889,0.85184,0.61998,0.32482,0.98789,0.000120781,0.000120781,0.000120781
75,318.897,0.38943,0.23875,0.84431,0.98092,0.98684,0.97829,0.84857,0.62431,0.31781,1.01357,0.000105312,0.000105312,0.000105312
76,323.402,0.36669,0.21866,0.82797,0.98167,0.98684,0.97563,0.84682,0.62392,0.32063,1.00362,8.98437e-05,8.98437e-05,8.98437e-05
77,327.413,0.37036,0.22185,0.83391,0.98186,0.98684,0.97571,0.85577,0.61766,0.31977,1.00064,7.4375e-05,7.4375e-05,7.4375e-05
78,331.324,0.3611,0.21861,0.83637,0.9817,0.98684,0.97571,0.85571,0.60568,0.31335,1.00023,5.89062e-05,5.89062e-05,5.89062e-05
79,335.874,0.34364,0.20748,0.8183,0.98147,0.98684,0.97597,0.86088,0.60131,0.31334,0.9994,4.34375e-05,4.34375e-05,4.34375e-05
80,339.906,0.35112,0.21302,0.83159,0.98111,0.98684,0.97715,0.85881,0.60351,0.31582,0.99592,2.79687e-05,2.79687e-05,2.79687e-05
